Dimension,PopulationSize,Generations,EngineType,Complexity,Best result,Mean best result,Mean first achieved iter,Mean finished eval at,Mean eval ime
2,50,200,Islands(8),2,9.99894335887109,9.99,0.0,1.0,191.1
2,50,200,Islands(8),3,9.999033211604551,10.0,0.0,1.0,194.2
2,50,200,Islands(8),4,9.998666558739579,9.99,0.0,1.0,197.4
2,50,200,Islands(8),5,9.99846116010766,9.99,0.0,1.0,207.4
2,50,500,SingleThreaded,0,0.0,0.0,0.0,500.0,11.7
2,50,500,SingleThreaded,1,8.735613116082014,7.91,0.0,500.0,18.3
2,50,500,SingleThreaded,2,8.735613116082014,7.91,0.0,500.0,20.5
2,50,500,SingleThreaded,3,8.735613116082014,7.91,0.0,500.0,22.3
2,50,500,SingleThreaded,4,8.735613116082014,7.91,0.0,500.0,25.9
2,50,500,SingleThreaded,5,8.735613116082014,7.91,0.0,500.0,28.8
2,50,500,MasterSlave,0,0.0,0.0,0.0,500.0,22.1
2,50,500,MasterSlave,1,8.735613116082014,7.91,0.0,500.0,31.8
2,50,500,MasterSlave,2,8.735613116082014,7.91,0.0,500.0,34.0
2,50,500,MasterSlave,3,8.735613116082014,7.91,0.0,500.0,35.1
2,50,500,MasterSlave,4,8.735613116082014,7.91,0.0,500.0,39.6
2,50,500,MasterSlave,5,8.735613116082014,7.91,0.0,500.0,37.2
2,50,500,Islands(2),0,0.0,0.0,0.0,4.0,61.0
2,50,500,Islands(2),1,9.992785039477111,9.98,0.0,4.0,53.8
2,50,500,Islands(2),2,9.998556994030766,9.99,0.0,4.0,49.2
2,50,500,Islands(2),3,9.995258921081788,9.99,0.0,4.0,49.4
2,50,500,Islands(2),4,9.99752396394771,9.99,0.0,4.0,54.6
2,50,500,Islands(2),5,9.999018263070152,9.99,0.0,4.0,52.3
2,50,500,Islands(8),0,0.0,0.0,0.0,4.0,499.2
2,50,500,Islands(8),1,9.998372257917337,9.99,0.0,4.0,527.9
2,50,500,Islands(8),2,9.99792335748523,9.99,0.0,4.0,557.0
2,50,500,Islands(8),3,9.998901794728239,10.0,0.0,4.0,563.2
2,50,500,Islands(8),4,9.996999501343637,9.99,0.0,4.0,566.7
2,50,500,Islands(8),5,9.997558541537813,9.99,0.0,4.0,540.9
2,50,1000,SingleThreaded,0,0.0,0.0,0.0,1000.0,23.5
2,50,1000,SingleThreaded,1,8.735613116082014,7.91,0.0,1000.0,35.7
2,50,1000,SingleThreaded,2,8.735613116082014,7.91,0.0,1000.0,43.4
2,50,1000,SingleThreaded,3,8.735613116082014,7.91,0.0,1000.0,50.5
2,50,1000,SingleThreaded,4,8.735613116082014,7.91,0.0,1000.0,57.0
2,50,1000,SingleThreaded,5,8.735613116082014,7.91,0.0,1000.0,63.9
2,50,1000,MasterSlave,0,0.0,0.0,0.0,1000.0,48.9
2,50,1000,MasterSlave,1,8.735613116082014,7.91,0.0,1000.0,81.0
2,50,1000,MasterSlave,2,8.735613116082014,7.91,0.0,1000.0,80.7
2,50,1000,MasterSlave,3,8.735613116082014,7.91,0.0,1000.0,82.6
2,50,1000,MasterSlave,4,8.735613116082014,7.91,0.0,1000.0,88.3
2,50,1000,MasterSlave,5,8.735613116082014,7.91,0.0,1000.0,92.7
2,50,1000,Islands(2),0,0.0,0.0,0.0,9.0,152.3
